csas_reference_id,year,extracted_title,reference,priority_for_scope_audit,priority_reason,corpus_match_status,matched_corpus_id,matched_corpus_title,match_score,match_method,manual_audit_note
CSAS-056,2010,Studies on western Atlantic Octocorallia (Gorgonacea: Primnoidae),"Cairns, S.D. 2010. Studies on western Atlantic Octocorallia (Gorgonacea: Primnoidae). Part 8: New records of Primnoidae from the New England and Corner Rise Seamounts. Proceedings of the Biological Society of Washington, 120(3): 243–263.",NO,,NOT FOUND,,,0.333,no match above 0.84 threshold within publication year +/- 1,
CSAS-057,2019,"An illustrated key to the species of the genus Narella (Cnidaria, Octocorallia, Primnoidae)","Cairns, S.D., and Taylor, M.L. 2019. An illustrated key to the species of the genus Narella (Cnidaria, Octocorallia, Primnoidae). ZooKeys. 822: 1–15.",NO,,NOT FOUND,,,0.385,no match above 0.84 threshold within publication year +/- 1,
CSAS-058,2017,Exploration Drilling in Atlantic Canada Offshore Fact Sheet,CAPP. 2017. Exploration Drilling in Atlantic Canada Offshore Fact Sheet. Accessed 20 October 2019.,NO,,PRESENT,CWC-034B5B194DB6,C,0.853,fuzzy title/year,
CSAS-059,2012,"A review of Norwegian streptaster-bearing Astrophorida (Porifera: Demospongiae: Tetractinellida), new records and a new species, Zootaxa. 3253: 1–52","Cárdenas, P., and Rapp, H.T. 2012, A review of Norwegian streptaster-bearing Astrophorida (Porifera: Demospongiae: Tetractinellida), new records and a new species, Zootaxa. 3253: 1–52.",NO,,PRESENT,CWC-AF51824C21CD,"A review of Norwegian streptaster-bearing Astrophorida (Porifera: Demospongiae: Tetractinellida), new records and a new species",1.0,normalized title contained in CSAS reference,
CSAS-060,2015,Demosponges from the Northern Mid-Atlantic Ridge shed more light on the diversity and biogeography of North Atlantic deep-sea sponges. J,"Cárdenas, P., and Rapp, H.T. 2015. Demosponges from the Northern Mid-Atlantic Ridge shed more light on the diversity and biogeography of North Atlantic deep-sea sponges. J. Mar. Biolog. Assoc. U.K. 95(7): 1475–1516.",NO,,PRESENT,CWC-F89E7359CB87,Demosponges from the Northern Mid-Atlantic Ridge shed more light on the diversity and biogeography of North Atlantic deep-sea sponges,1.0,normalized title contained in CSAS reference,
CSAS-061,2013,"Taxonomy, biogeography and DNA barcodes of Geodia species (Porifera, Demospongiae, Tetractinellida) in the Atlantic boreo-arctic region","Cárdenas, P., Rapp, H.T., Klitgaard, A.B., Best, M., Thollesson, M., and Tendal, O.S. 2013. Taxonomy, biogeography and DNA barcodes of Geodia species (Porifera, Demospongiae, Tetractinellida) in the Atlantic boreo-arctic region. Zool. J. Linn. Soc. 169: 251–311.",NO,,PRESENT,CWC-CA460694EDFC,"Taxonomy, biogeography and DNA barcodes of<i>Geodia</i>species (Porifera, Demospongiae, Tetractinellida) in the Atlantic boreo-arctic region",0.971,fuzzy title/year,
CSAS-062,1874,Development of the marine sponges from the earliest recognizable appearance of the ovum to the perfected individual,"Carter, H.J. 1874. Development of the marine sponges from the earliest recognizable appearance of the ovum to the perfected individual. Ann. Mag. Nat. Hist. 14(4): 321–337, 389–406.",NO,,NOT FOUND,,,0.24,no match above 0.84 threshold within publication year +/- 1,
CSAS-063,2015,Cold-water coral reefs and adjacent sponge grounds: hotspots of benthic respiration and organic carbon cycling in the deep sea,"Cathalot, C., Van Oevelen, D., Cox, T.J.S., Kutti, T., Lavaleye, M., Duineveld, G., and Meysman, F.J.R. 2015. Cold-water coral reefs and adjacent sponge grounds: hotspots of benthic respiration and organic carbon cycling in the deep sea. Front. Mar. Sci. 2:37.",NO,,PRESENT,CWC-51CF32B7BF4F,Cold-water coral reefs and adjacent sponge grounds: hotspots of benthic respiration and organic carbon cycling in the deep sea,1.0,normalized title contained in CSAS reference,
CSAS-064,2019,"Decision Statement Issued under Section 54 of the Canadian Environmental Assessment Act, 2012, Eastern Newfoundland Offshore Exploration Drilling Project","CEAA. 2019a. Decision Statement Issued under Section 54 of the Canadian Environmental Assessment Act, 2012, Eastern Newfoundland Offshore Exploration Drilling Project. Ottawa, Ontario. April 17, 2019. 16 p.",NO,,NOT FOUND,,,0.286,no match above 0.84 threshold within publication year +/- 1,
CSAS-065,2019,"Decision Statement Issued under Section 54 of the Canadian Environmental Assessment Act, 2012 – Flemish Pass Exploration Drilling Project","CEAA. 2019b. Decision Statement Issued under Section 54 of the Canadian Environmental Assessment Act, 2012 – Flemish Pass Exploration Drilling Project. Ottawa, Ontario. April 17, 2019. 16 p.",NO,,NOT FOUND,,,0.267,no match above 0.84 threshold within publication year +/- 1,
