seed_generation,corpus_id,openalex_id,title,doi,families,discovery_systems,occurrence_count,seed_basis
0,CWC-1F2DE1D5AFFE,W2618770354,Cumulative impacts: thermally bleached corals have reduced capacity to clear deposited sediment,10.1038/s41598-017-02810-0,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-1C68BB5D48A7,W2025587010,Effects of two sediment types on the fluorescence yield of two Hawaiian scleractinian corals,10.1016/j.marenvres.2007.04.001,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-FDF2AA0851F7,W2044669084,Rapid Smothering of Coral Reef Organisms by Muddy Marine Snow,10.1006/ecss.1999.0538,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-BD0480DC4021,W2164939909,"Short-term assessment of the sediment deposition rate and water conditions during a rainy season on La Azufrada coral reef, Gorgona Island, Colombia",10.15517/rbt.v62i0.15981,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-FEEFEE9ACBAC,W3124942184,"Chlorinated paraffins (SCCPs and MCCPs) in corals and water-SPM-sediment system in the Persian Gulf, Iran: A potential global threat for coral reefs",10.1016/j.envpol.2021.116531,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-DEC36A45162C,W2079072861,Mechanisms of damage to corals exposed to sedimentation,10.1073/pnas.1100715109,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,8,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-12684F69AB2A,W2569481407,The Effects of Algal Turf Sediments and Organic Loads on Feeding by Coral Reef Surgeonfishes,10.1371/journal.pone.0169479,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION,OpenAlex | Semantic Scholar | Web of Science,9,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-F5FD6B84111D,W4387937295,"Movement dynamics, sediment turnover and sheltering behaviours of the nocturnal coral reef sea cucumber, Stichopus cf. monotuberculatus",10.1007/s00338-023-02433-0,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-074B411D14C5,W2054632639,"The Dangeard and Explorer canyons, South Western Approaches UK: Geology, sedimentology and newly discovered cold-water coral mini-mounds",10.1016/j.dsr2.2013.08.018,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,4,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-2F2E7722E567,W2972371748,Regional coral disease outbreak overwhelms impacts from a local dredge project,10.1007/s10661-019-7767-7,MECH_FEEDING_MUCUS_CORAL | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,4,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-2E7B22F019A7,W2610112398,The short-term combined effects of temperature and organic matter enrichment on permeable coral reef carbonate sediment metabolism and dissolution,10.5194/bg-14-5377-2017,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-D61AADC05DF6,W2050696313,Fish feeding and dynamics of soft-sediment mollusc populations in a coral reef lagoon,10.3354/meps080175,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-879CE1A19791,W2553114592,Fine sediments suppress detritivory on coral reefs,10.1016/j.marpolbul.2016.11.016,MECH_FEEDING_MUCUS_CORAL | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
